player_id,Position,x_star,x_star_sd,Player_Name,Position_Code,Team,points,goals,assists,gamesPlayed,Points_per_60,x_star_rank,pts60_rank,rank_divergence
8475760,forwards,0.73227894,0.30196077,Nick Bjugstad,C,NJD,9,6,3,61,0.8096761295481807,154,363,-209
8484387,forwards,0.73193955,0.295565,Matvei Michkov,R,PHI,51,20,31,81,2.5964108438335245,155,85,70
8481522,forwards,0.72895277,0.28703874,Peyton Krebs,C,BUF,39,12,27,82,2.057926829268293,156,161,-5
8475172,forwards,0.7247063,0.2588254,Nazem Kadri,C,COL,50,16,34,77,2.083478019306896,157,153,4
8478542,forwards,0.7182809,0.2759558,Evan Rodrigues,C,NJD,31,11,20,69,1.5856777493606138,158,252,-94
8477949,forwards,0.7168426,0.28846952,Alex Tuch,R,WSH,66,33,33,79,2.6084951749426373,159,82,77
8478463,forwards,0.71040577,0.27745396,Anthony Beauvillier,R,WSH,28,15,13,82,1.2966965112689102,160,302,-142
8480015,forwards,0.7102877,0.27126288,Owen Tippett,R,PHI,51,28,23,81,2.2397891963109355,161,136,25
8484153,forwards,0.70922697,0.26407164,Leo Carlsson,C,ANA,67,29,38,70,3.0225563909774436,162,45,117
8483890,forwards,0.7052615,0.32700905,Braeden Bowman,R,VGK,26,8,18,54,2.058590657165479,163,159,4
8482090,forwards,0.69092774,0.25369483,Jack Finley,C,STL,5,2,3,44,0.7029053420805998,164,372,-208
8480028,forwards,0.68981105,0.2683942,Morgan Frost,C,CGY,43,22,21,82,2.029897718332022,165,166,-1
8483515,forwards,0.67962873,0.2796145,Juraj Slafkovský,L,MTL,73,30,43,82,2.843724976735127,166,55,111
8481604,forwards,0.662014,0.38762954,Pavel Dorofeyev,L,NYR,64,37,27,82,2.678509149247832,167,77,90
8479420,forwards,0.6615839,0.27343422,Tage Thompson,C,BUF,81,40,41,81,3.103448275862069,168,34,134
8480762,forwards,0.6601215,0.37474766,Eric Robinson,L,CAR,18,12,6,67,1.428602923344871,169,276,-107
8479996,forwards,0.649759,0.26143467,Cody Glass,C,NJD,26,19,7,70,1.6366497639447455,170,241,-71
8476393,forwards,0.6443954,0.3073083,Nick Cousins,C,OTT,23,9,14,81,1.4988595633756923,171,255,-84
8482699,forwards,0.64266044,0.27238998,Dylan Guenther,R,UTA,73,40,33,79,3.1442176545189153,172,30,142
8480113,forwards,0.63595,0.2772549,Alex Iafallo,L,WPG,29,13,16,79,1.4133892912746227,173,281,-108
8480797,forwards,0.63499105,0.27107212,Joel Farabee,L,CGY,38,20,18,82,1.6436381112579599,174,239,-65
8475151,forwards,0.6341027,0.28529418,Kyle Palmieri,C,NYI,18,6,12,25,2.287731685789938,175,127,48
8476887,forwards,0.6249286,0.27769607,Filip Forsberg,L,NSH,75,40,35,82,2.9061632187372184,176,49,127
8484829,forwards,0.6240082,0.26452023,Justin Hryckowian,C,DAL,30,14,16,81,1.6481252575195715,177,236,-59
8479638,forwards,0.6212798,0.28785184,Justin Brazeau,R,PIT,34,17,17,64,2.533112582781457,178,92,86
8485414,forwards,0.620707,0.26224476,Ben Kindel,C,PIT,35,17,18,77,1.8283392585068563,179,201,-22
8478020,forwards,0.6201638,0.27752668,Michael Amadio,R,OTT,35,15,20,81,1.6053204907694072,180,248,-68
8478493,forwards,0.61094934,0.26260436,Joel Eriksson Ek,C,MIN,51,19,32,70,2.247521116415718,181,134,47
8482092,forwards,0.5753004,0.29247224,Ridly Greig,C,OTT,35,13,22,77,1.6249887153561433,182,243,-61
8476392,forwards,0.5653088,0.3340602,Adam Lowry,C,WPG,21,5,16,70,1.2026726057906458,183,321,-138
8481601,forwards,0.5627395,0.26955104,Simon Holmstrom,R,NYI,41,19,22,79,1.8609107872308235,184,191,-7
8480220,forwards,0.5572251,0.2810133,Noah Cates,L,PHI,47,18,29,82,2.1163227016885555,185,151,34
8481716,forwards,0.54715055,0.33113095,Dmitri Voronkov,L,CBJ,32,17,15,63,2.1872863978127133,186,142,44
8476458,forwards,0.5436059,0.2648816,Ryan Strome,C,CGY,21,8,13,52,1.824148248238587,187,203,-16
8482125,forwards,0.539328,0.27219948,Alexander Holtz,R,VGK,9,3,6,28,1.679452622848849,188,229,-41
8480830,forwards,0.51171935,0.25246385,Andrei Svechnikov,R,CAR,70,31,39,79,3.1060111175477303,189,33,156
8483468,forwards,0.49718016,0.27899265,Jiri Kulich,C,BUF,5,3,2,12,1.5274949083503055,190,254,-64
8478449,forwards,0.49313378,0.26061347,Roope Hintz,C,DAL,44,15,29,53,2.873730043541364,191,53,138
8484509,forwards,0.48900235,0.27693498,Josh Samanski,C,EDM,4,2,2,24,0.9724473257698542,192,345,-153
8484145,forwards,0.48247808,0.27813223,Zach Benson,L,BUF,43,13,30,65,2.4679155041849343,193,102,91
8479661,forwards,0.4779376,0.2863754,Tanner Jeannot,L,BOS,22,6,16,77,1.3659647125782584,194,289,-95
8477940,forwards,0.47207475,0.35746026,Nikolaj Ehlers,L,CAR,71,26,45,82,3.055954088952654,195,42,153
8471214,forwards,0.45943466,0.26470172,Alex Ovechkin,L,WSH,64,32,32,82,2.6836256901250963,196,75,121
8485512,forwards,0.45336047,0.27632406,Tim Washe,C,ANA,5,2,3,39,0.6186842647968653,197,377,-180
8482209,forwards,0.43531105,0.3368986,Rory Kerins,C,CGY,0,0,0,4,0.0,198,388,-190
8483524,forwards,0.43374154,0.2845771,Shane Wright,C,SEA,27,12,15,74,1.5863689776733256,199,251,-52
8478421,forwards,0.42989382,0.26697943,A.J. Greer,L,ANA,32,17,15,78,1.979789647349969,200,175,25
8477478,forwards,0.4255974,0.2509283,William Carrier,L,CAR,18,7,11,70,1.4578177727784027,201,268,-67
8477919,forwards,0.41933298,0.24630795,Frederick Gaudreau,C,SEA,24,7,17,68,1.311236568930978,202,300,-98
8483690,forwards,0.419201,0.26998824,Noah Laba,C,NYR,24,9,15,74,1.4450093658014451,203,272,-69
8476483,forwards,0.4188787,0.27162725,Rickard Rakell,R,PIT,48,24,24,60,2.51528384279476,204,94,110
8478440,forwards,0.40818703,0.28804004,Dylan Strome,C,WSH,58,19,39,80,2.412199630314233,205,110,95
8484762,forwards,0.40453994,0.27182394,Beckett Sennecke,R,ANA,60,23,37,82,2.5255477866379814,206,93,113
8478402,forwards,0.40379104,0.24621151,Connor McDavid,C,EDM,138,48,90,82,4.387064869924586,207,2,205
8480074,forwards,0.3964473,0.27143124,Alexandre Texier,L,MTL,21,8,13,51,1.8391475696978543,208,198,10
8478508,forwards,0.3755768,0.30284765,Yakov Trenin,C,MIN,23,6,17,82,1.2895991028875806,209,303,-94
8484801,forwards,0.37078142,0.25761324,Macklin Celebrini,C,SJS,115,45,70,82,3.9474436964854402,210,5,205
8476292,forwards,0.3693462,0.26566517,Ondrej Palat,L,NYI,15,5,10,80,0.8777633289986996,211,355,-144
8482175,forwards,0.36808586,0.28948194,JJ Peterka,R,BOS,47,25,22,82,2.1743041455704337,212,145,67
8476539,forwards,0.36679533,0.2833033,Jonathan Marchessault,C,NSH,31,12,19,62,1.7964071856287425,213,208,5
8476374,forwards,0.32116985,0.27869588,Sean Kuraly,C,BOS,22,6,16,82,1.211861553998225,214,319,-105
8481617,forwards,0.3128291,0.276209,Vasily Podkolzin,R,EDM,37,19,18,82,1.7542011273244482,215,213,2
8483500,forwards,0.31164065,0.2757838,Noah Ostlund,C,BUF,27,11,16,60,1.9494584837545126,216,181,35
8483676,forwards,0.30099863,0.25308633,Stephen Halliday,C,OTT,11,4,7,30,2.583170254403131,217,88,129
8482155,forwards,0.29226843,0.2998774,Alex Laferriere,R,LAK,44,21,23,82,1.7402768622280815,218,217,1
8482148,forwards,0.29086232,0.27128327,Hendrix Lapierre,C,PIT,16,4,12,74,1.4686384497705254,219,267,-48
8481028,forwards,0.2884804,0.25857297,Martin Pospisil,C,CGY,3,1,2,22,0.8060904612628751,220,364,-144
8485251,forwards,0.25508708,0.26857972,Kai Uchacz,C,VGK,0,0,0,3,0.0,221,388,-167
